pub_id,pub_name,pub_email,pub_contact_number
1,Nimble Books,nimble_books@gmail.com,8266490228
2,Gramercy Books,gramercy_books@gmail.com,6944798783
3,Del Rey Books,del_rey_books@gmail.com,7118889352
4,Crown,crown@gmail.com,5998149450
5,Wings Books,wings_books@gmail.com,6352634153
6,Broadway Books,broadway_books@gmail.com,7443686945
7,William Morrow Paperbacks,william_morrow_paperbacks@gmail.com,9144544598
8,Ballantine Books,ballantine_books@gmail.com,5603371375
9,Houghton Mifflin Harcourt,houghton_mifflin_harcourt@gmail.com,6676947268
10,Atheneum Books for Young Readers: Richard Jackson Books,atheneum_books_for_young_readers:_richard_jackson_books@gmail.com,8265965829
11,Delacorte Press,delacorte_press@gmail.com,7052935851
12,Cherry Lane Music Company,cherry_lane_music_company@gmail.com,8199394556
13,The New Press,the_new_press@gmail.com,6762983805
14,Viking Juvenile,viking_juvenile@gmail.com,5803589291
15,Firebird,firebird@gmail.com,6705578047
16,iUniverse,iuniverse@gmail.com,7617178823
17,Shambhala,shambhala@gmail.com,7488532522
18,Ivy Books,ivy_books@gmail.com,7608562006
19,Amistad,amistad@gmail.com,8295914199
20,Harper,harper@gmail.com,6298750840
21,FT Press,ft_press@gmail.com,5625594043
22,Archaia,archaia@gmail.com,6154910584
23,Farrar Straus Giroux,farrar_straus_giroux@gmail.com,5907064180
24,Farrar Straus and Giroux,farrar__straus_and_giroux@gmail.com,9368389579
25,Dramatists Play Service,dramatists_play_service@gmail.com,8688574583
26,Vintage,vintage@gmail.com,7823768205
27,Routledge,routledge@gmail.com,8985689709
28,North Light Books,north_light_books@gmail.com,8627939557
29,Association for Supervision & Curriculum Development,association_for_supervision_&_curriculum_development@gmail.com,6675007459
30,ASCD,ascd@gmail.com,7481071242
31,Ace Books,ace_books@gmail.com,8091658990
32,Tor Books,tor_books@gmail.com,7616399338
33,Putnam,putnam@gmail.com,6032707551
34,Delacorte Books for Young Readers,delacorte_books_for_young_readers@gmail.com,6276581450
35,Wiley,wiley@gmail.com,9881993136
36,Heinemann Drama,heinemann_drama@gmail.com,6974031689
37,Citadel,citadel@gmail.com,8602618948
38,O'Reilly Media,o'reilly_media@gmail.com,5649056894
39,Mira Books,mira_books@gmail.com,7993177291
40,Cambridge University Press,cambridge_university_press@gmail.com,7556316219
41,Scribner,scribner@gmail.com,8923260383
42,Pearson,pearson@gmail.com,8478381340
43,EMC/Paradigm Publishing,emc/paradigm_publishing@gmail.com,6993703329
44,Teaching Resources,teaching_resources@gmail.com,6505421486
45,Turtleback Books,turtleback_books@gmail.com,7628936547
46,Little Brown Book Group,little__brown_book_group@gmail.com,9812838618
47,William Morrow,william_morrow@gmail.com,6366669105
48,Picador USA,picador_usa@gmail.com,8128458640
49,Puffin,puffin@gmail.com,8722424755
50,Grove Press,grove_press@gmail.com,9854804569
51,New Directions,new_directions@gmail.com,9018578776
52,Brookline Books,brookline_books@gmail.com,5952935402
53,Kingfisher,kingfisher@gmail.com,9706920481
54,Simon & Schuster,simon_&_schuster@gmail.com,5728120753
55,Black Classic Press,black_classic_press@gmail.com,5945423921
56,Random House Books for Young Readers,random_house_books_for_young_readers@gmail.com,6346170198
57,Zebra,zebra@gmail.com,5615281118
58,Greenwillow Books,greenwillow_books@gmail.com,6758490573
59,Booket,booket@gmail.com,7211097065
60,Del Rey,del_rey@gmail.com,9282760668
61,Ace,ace@gmail.com,9532376732
62,Pocket Books,pocket_books@gmail.com,9130207189
63,Princeton University Press,princeton_university_press@gmail.com,6608658303
64,W. W. Norton & Company,w._w._norton_&_company@gmail.com,6811395441
65,Penguin,penguin@gmail.com,8801263094
66,Penguin Books,penguin_books@gmail.com,9077552442
67,Vintage Contemporaries,vintage_contemporaries@gmail.com,8766939279
68,Penguin Press,penguin_press@gmail.com,7836314603
69,Harper Perennial Modern Classics,harper_perennial_modern_classics@gmail.com,7695749711
70,Harper Perennial,harper_perennial@gmail.com,9183456651
71,Penguin Classics,penguin_classics@gmail.com,9735626951
72,Back Bay Books,back_bay_books@gmail.com,6843830740
73,Knopf Publishing Group,knopf_publishing_group@gmail.com,9689081667
74,Vintage International,vintage_international@gmail.com,7370237334
75,Sun and Moon Press,sun_and_moon_press@gmail.com,9493477598
76,Picador,picador@gmail.com,9324958626
77,Henry Holt & Company,henry_holt_&_company@gmail.com,7364583491
78,Actes Sud,actes_sud@gmail.com,9504894832
